,qzGroup,Key_word,E,I,T,F,MBTI_result
180,5428,"['체계적', '이성적', '능동적', '구체적', '정적', '비평적', '계획적', '창의적']",1,1,2,0,err
181,5428,"['체계적', '이성적', '능동적', '구체적', '정적', '비평적', '계획적', '창의적']",1,1,2,0,err
182,5428,"['체계적', '이성적', '능동적', '구체적', '정적', '비평적', '계획적', '창의적']",1,1,2,0,err
183,5463,"['능동적', '표현적', '허용적', '유연성', '열성적', '창의적', '경험적', '이상적']",3,0,0,1,EF
184,5463,"['능동적', '표현적', '허용적', '유연성', '열성적', '창의적', '경험적', '이상적']",3,0,0,1,EF
185,5463,"['능동적', '표현적', '허용적', '유연성', '열성적', '창의적', '경험적', '이상적']",3,0,0,1,EF
186,5470,"['목표지향성', '열성적', '허용적', '창의적', '계획적', '구체적', '현실적', '이성적']",1,0,1,1,err
187,5470,"['목표지향성', '열성적', '허용적', '창의적', '계획적', '구체적', '현실적', '이성적']",1,0,1,1,err
188,5470,"['목표지향성', '열성적', '허용적', '창의적', '계획적', '구체적', '현실적', '이성적']",1,0,1,1,err
189,5509,"['경험적', '추상적', '개방성', '허용적', '유연성', '능동적', '열성적', '현실적']",2,0,0,1,EF
190,5530,"['열성적', '허용적', '자발성', '표현적', '목표지향성', '창의적', '정서적', '이성적']",2,0,1,2,EF
191,5530,"['열성적', '허용적', '자발성', '표현적', '목표지향성', '창의적', '정서적', '이성적']",2,0,1,2,EF
192,5530,"['열성적', '허용적', '자발성', '표현적', '목표지향성', '창의적', '정서적', '이성적']",2,0,1,2,EF
193,5569,"['열성적', '능동적', '구체적', '목표지향성', '경험적', '체계적', '논리적', '유연성']",2,0,1,0,ET
194,5569,"['열성적', '능동적', '구체적', '목표지향성', '경험적', '체계적', '논리적', '유연성']",2,0,1,0,ET
195,5569,"['열성적', '능동적', '구체적', '목표지향성', '경험적', '체계적', '논리적', '유연성']",2,0,1,0,ET
196,5573,"['추상적', '개방성', '경험적', '허용적', '자발성', '열성적', '정서적', '현실적']",1,0,0,2,EF
197,5573,"['추상적', '개방성', '경험적', '허용적', '자발성', '열성적', '정서적', '현실적']",1,0,0,2,EF
198,5573,"['추상적', '개방성', '경험적', '허용적', '자발성', '열성적', '정서적', '현실적']",1,0,0,2,EF
199,5593,"['논리적', '능동적', '열성적', '목표지향성', '구체적', '유연성', '자발성', '현실적']",2,0,1,0,ET
200,5593,"['논리적', '능동적', '열성적', '목표지향성', '구체적', '유연성', '자발성', '현실적']",2,0,1,0,ET
201,5593,"['논리적', '능동적', '열성적', '목표지향성', '구체적', '유연성', '자발성', '현실적']",2,0,1,0,ET
