qzGroup,pass_video,fileUrl,emotion_fear,emotion_aversion,emotion_happy,emotion_sadness,emotion_angry,emotion_neutral,face_angle,shoulder_angle,left_shoulder,left_shoulder_move_count,right_shoulder,right_shoulder_move_count,center_shoulder,center_shoulder_left_move_count,center_shoulder_right_move_count,left_hand_time,left_hand_move_count,right_hand_time,right_hand_move_count,gaze_x_score,gaze_y_score,shoulder_vertical_score,shoulder_horizon_score,face_angle_score,gesture_score
13362,o,https://withmind.cache.smilecdn.com/vod/1610855292304_3_4788.mp4,0.0001,0.07823,0.39028,41.83428,5.04774,52.64543,-8.64423,0.09831,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 0, ""y"": 0}, ""right_spot"": {""x"": 0, ""y"": 0}}",0,0,0,0,0,0,100,100,100,100,100,100
13364,o,https://withmind.cache.smilecdn.com/vod/1610888651790_1_4788.mp4,0.00079,0.00197,95.53035,3.67462,0.77809,0.01402,-2.31528,0.03084,"{""low_spot"": {""x"": 14, ""y"": 578}, ""high_spot"": {""x"": 13, ""y"": 563}}",3,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""left_spot"": {""x"": 226, ""y"": 628}, ""right_spot"": {""x"": 281, ""y"": 572}}",2,0,15.16666667,4,10.16666667,4,40,20,100,60,100,100
13364,o,https://withmind.cache.smilecdn.com/vod/1610888718805_2_4788.mp4,0.00011,0.06575,93.98076,0.00197,2.03737,3.91401,3.95983,0.018,"{""low_spot"": {""x"": 4, ""y"": 607}, ""high_spot"": {""x"": 34, ""y"": 606}}",4,"{""low_spot"": {""x"": 433, ""y"": 618}, ""high_spot"": {""x"": 477, ""y"": 571}}",3,"{""left_spot"": {""x"": 224, ""y"": 565}, ""right_spot"": {""x"": 264, ""y"": 614}}",0,1,12.83333333,4,12.83333333,4,60,60,100,60,80,100
13364,o,https://withmind.cache.smilecdn.com/vod/1610888784205_3_4788.mp4,0.00566,0.2997,80.80319,0.00194,13.82052,5.06867,3.55615,0.02689,"{""low_spot"": {""x"": 17, ""y"": 583}, ""high_spot"": {""x"": 15, ""y"": 541}}",4,"{""low_spot"": {""x"": 458, ""y"": 610}, ""high_spot"": {""x"": 478, ""y"": 561}}",3,"{""left_spot"": {""x"": 226, ""y"": 562}, ""right_spot"": {""x"": 261, ""y"": 560}}",0,1,22.66666667,2,20.5,4,60,60,100,60,80,100
13365,o,https://withmind.cache.smilecdn.com/vod/1610979409979_1_4788.mp4,0.00011,1.43118,0.00177,4.40944,2.60493,91.31244,7.991,0.07417,"{""low_spot"": {""x"": 0, ""y"": 0}, ""high_spot"": {""x"": 0, ""y"": 0}}",0,"{""low_spot"": {""x"": 476, ""y"": 594}, ""high_spot"": {""x"": 454, ""y"": 568}}",3,"{""left_spot"": {""x"": 202, ""y"": 556}, ""right_spot"": {""x"": 243, ""y"": 559}}",0,0,0,0,0,0,40,40,100,60,80,100
13365,o,https://withmind.cache.smilecdn.com/vod/1610979471745_2_4788.mp4,0.00011,0.37919,0.03698,2.20944,0.26422,96.83729,1.81674,0.06355,"{""low_spot"": {""x"": 25, ""y"": 582}, ""high_spot"": {""x"": 52, ""y"": 492}}",4,"{""low_spot"": {""x"": 477, ""y"": 575}, ""high_spot"": {""x"": 451, ""y"": 536}}",6,"{""left_spot"": {""x"": 241, ""y"": 529}, ""right_spot"": {""x"": 274, ""y"": 562}}",0,0,24.66666667,7,34.16666667,3,60,40,100,60,100,100
13365,o,https://withmind.cache.smilecdn.com/vod/1610979560606_3_4788.mp4,0.00028,4.60823,0.05571,85.57371,0.03284,8.50914,2.49983,-0.05856,"{""low_spot"": {""x"": 11, ""y"": 591}, ""high_spot"": {""x"": 138, ""y"": 463}}",2,"{""low_spot"": {""x"": 476, ""y"": 617}, ""high_spot"": {""x"": 414, ""y"": 466}}",4,"{""left_spot"": {""x"": 114, ""y"": 464}, ""right_spot"": {""x"": 353, ""y"": 448}}",1,1,6.166666667,2,11.66666667,4,60,20,100,20,80,100
13366,o,https://withmind.cache.smilecdn.com/vod/1611025645901_1_4746.mp4,4.00E-05,0.93748,0.01702,0.40466,0.04484,98.25977,2.58175,0.02296,"{""low_spot"": {""x"": 140, ""y"": 426}, ""high_spot"": {""x"": 156, ""y"": 412}}",1,"{""low_spot"": {""x"": 451, ""y"": 430}, ""high_spot"": {""x"": 461, ""y"": 420}}",1,"{""left_spot"": {""x"": 285, ""y"": 421}, ""right_spot"": {""x"": 313, ""y"": 423}}",0,0,0,0,0,0,60,100,100,60,80,100
13366,o,https://withmind.cache.smilecdn.com/vod/1611025745275_2_4746.mp4,0,0.32953,0.00792,0.00299,0.0153,99.6442,2.66622,0.01611,"{""low_spot"": {""x"": 132, ""y"": 426}, ""high_spot"": {""x"": 140, ""y"": 415}}",0,"{""low_spot"": {""x"": 428, ""y"": 431}, ""high_spot"": {""x"": 433, ""y"": 415}}",0,"{""left_spot"": {""x"": 274, ""y"": 425}, ""right_spot"": {""x"": 286, ""y"": 424}}",0,0,0,0,0,0,80,100,100,80,80,100
13366,o,https://withmind.cache.smilecdn.com/vod/1611025844525_3_4746.mp4,0,0.15661,0.00391,0.00012,0.00239,99.66179,2.60165,-0.0154,"{""low_spot"": {""x"": 126, ""y"": 431}, ""high_spot"": {""x"": 138, ""y"": 420}}",0,"{""low_spot"": {""x"": 433, ""y"": 426}, ""high_spot"": {""x"": 422, ""y"": 417}}",0,"{""left_spot"": {""x"": 269, ""y"": 425}, ""right_spot"": {""x"": 284, ""y"": 425}}",0,0,0,0,0,0,100,100,100,80,80,100
13367,o,https://withmind.cache.smilecdn.com/vod/1611026599702_1_4746.mp4,0.00045,1.66388,0.64157,0.00368,0.02336,96.14462,1.65784,-0.00391,"{""low_spot"": {""x"": 107, ""y"": 435}, ""high_spot"": {""x"": 105, ""y"": 421}}",1,"{""low_spot"": {""x"": 419, ""y"": 432}, ""high_spot"": {""x"": 420, ""y"": 430}}",0,"{""left_spot"": {""x"": 254, ""y"": 425}, ""right_spot"": {""x"": 280, ""y"": 423}}",0,0,0,0,0,0,80,100,100,60,100,100
13367,o,https://withmind.cache.smilecdn.com/vod/1611026698861_2_4746.mp4,0.00015,0.19905,2.13738,0.00035,0.00036,96.49082,2.78862,-0.00915,"{""low_spot"": {""x"": 113, ""y"": 434}, ""high_spot"": {""x"": 108, ""y"": 414}}",1,"{""low_spot"": {""x"": 419, ""y"": 428}, ""high_spot"": {""x"": 415, ""y"": 422}}",0,"{""left_spot"": {""x"": 238, ""y"": 419}, ""right_spot"": {""x"": 279, ""y"": 421}}",1,1,0,0,0,0,60,80,100,60,80,100
13367,o,https://withmind.cache.smilecdn.com/vod/1611026798052_3_4746.mp4,4.00E-05,0.85603,0.34863,0.00191,0.00249,97.96449,2.84069,-0.00841,"{""low_spot"": {""x"": 107, ""y"": 434}, ""high_spot"": {""x"": 127, ""y"": 419}}",0,"{""low_spot"": {""x"": 408, ""y"": 429}, ""high_spot"": {""x"": 411, ""y"": 424}}",0,"{""left_spot"": {""x"": 235, ""y"": 419}, ""right_spot"": {""x"": 278, ""y"": 425}}",0,0,0,0,0,0,60,100,100,60,80,100
